"tramite_tipo","tramite_fecha","fecha_inscripcion_inicial","registro_seccional_codigo","registro_seccional_descripcion","registro_seccional_provincia","automotor_origen","automotor_anio_modelo","automotor_tipo_codigo","automotor_tipo_descripcion","automotor_marca_codigo","automotor_marca_descripcion","automotor_modelo_codigo","automotor_modelo_descripcion","automotor_uso_codigo","automotor_uso_descripcion","titular_tipo_persona","titular_domicilio_localidad","titular_domicilio_provincia","titular_genero","titular_anio_nacimiento","titular_pais_nacimiento","titular_porcentaje_titularidad","titular_domicilio_provincia_id","titular_pais_nacimiento_id"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-05-04","2013-06-13",2005,"CAPITAL FEDERAL Nº 005","Ciudad Autónoma de Bs.As.","Nacional","2013","12","SEDAN 4 PUERTAS","17","FIAT","AS","SIENA FIRE 4P 1.4MPI 8V HP BZ","1","Privado","Física","C.AUTONOMA DE BS.AS","C.AUTONOMA DE BS.AS","Masculino","1994","ARGENTINA",100,"02","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-05-17","2018-09-28",2007,"CAPITAL FEDERAL Nº 007","Ciudad Autónoma de Bs.As.","Nacional","2018","12","SEDAN 4 PUERTAS","37","RENAULT","2X","NUEVO LOGAN EXPRESSION 1.6","1","Privado","Física","C.AUTONOMA DE BS.AS","C.AUTONOMA DE BS.AS","Femenino","1961","ARGENTINA",100,"02","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-05-13","2013-10-11",2008,"CAPITAL FEDERAL Nº 008","Ciudad Autónoma de Bs.As.","Nacional","2013","12","SEDAN 4 PUERTAS","34","PEUGEOT","KZ","408 ALLURE+ TIPTRONIC 2.0N","1","Privado","Física","C.AUTONOMA DE BS.AS","C.AUTONOMA DE BS.AS","Masculino","1975","ARGENTINA",100,"02","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-05-04","1999-08-11",1296,"MAR DEL PLATA Nº 12","Buenos Aires","Nacional","1999","12","SEDAN 4 PTAS","53","VOLKSWAGEN","06","POLO CLASSIC 1.6 MI","1","Privado","Física","MAR DEL PLATA","BUENOS AIRES","Femenino","1983","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-05-13","2013-11-06",1311,"LA MATANZA Nº 14","Buenos Aires","Nacional","2013","12","SEDAN 4 PUERTAS","07","CITROEN","BH","C4 LOUNGE 2.0I 16V TENDANCE","1","Privado","Física","LOMAS DEL MIRADOR","BUENOS AIRES","No identificado","1986","ARGENTINA",50,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-05-06","1991-04-09",1226,"LA MATANZA Nº 09","Buenos Aires","Nacional","1991","12","SEDAN 4 PTAS","37","RENAULT","60","9 TS","1","Privado","Física","G. CATAN","BUENOS AIRES","Masculino","1963","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-05-03","2007-01-09",1226,"LA MATANZA Nº 09","Buenos Aires","Nacional","2007","12","SEDAN 4 PUERTAS","37","RENAULT","RA","KANGOO AUTHENTIQUE 1,9 1PL","1","Privado","Física","VIRREY DEL PINO","BUENOS AIRES","Masculino","1978","ARGENTINA",50,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-05-07","1994-01-03",1223,"EZEIZA Nº 1 (EX. ESTEBAN ECHEVERRIA NO 4)","Buenos Aires","Nacional","1994","12","SEDAN 4 PTAS","53","VOLKSWAGEN","08","VW SENDA","1","Privado","Física","TRISTAN SUAREZ","BUENOS AIRES","Femenino","1989","ARGENTINA",50,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-05-21","2007-06-05",1227,"LA MATANZA Nº 10","Buenos Aires","Nacional","2007","12","SEDAN 4 PTAS","08","CHEVROLET","BD","CORSA CLASSIC 4P SUPER 1.6N","1","Privado","Física","GREGORIO DE LAFERRERE","BUENOS AIRES","Femenino","1991","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-05-07","2000-04-14",1226,"LA MATANZA Nº 09","Buenos Aires","Nacional","2000","12","SEDAN 4 PTAS","34","PEUGEOT","94","306 BRL 4P D","1","Privado","Física","VEINTE DE JUNIO","BUENOS AIRES","Masculino","1983","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-05-10","2008-08-21",1227,"LA MATANZA Nº 10","Buenos Aires","Nacional","2008","12","SEDAN 4 PTAS","37","RENAULT","UU","KANGOO AUTH. 1.6 DA AA CD 1P","1","Privado","Física","GREGORIO DE LAFERRERE","BUENOS AIRES","Femenino","1967","PARAGUAY",100,"06","PRY"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-05-10","2008-10-06",1232,"HURLINGHAM Nº 2 (EX. MORON Nº 10)","Buenos Aires","Nacional","2008","12","SEDAN 4 PTAS","08","CHEVROLET","BZ","CORSA CLASSIC 4 PTAS GLS 1.6N","1","Privado","Física","WILLIAM C. MORRIS","BUENOS AIRES","Masculino","1996","ARGENTINA",100,"06","ARG"
